group_id,query_count,citation_precision,evidence_verifiability_mean,schema_valid_rate,recommendation_coverage,aspect_alignment_rate,hallucination_rate,unsupported_honesty_rate,avg_latency_ms,config_hash,source_run_id,source_run_dir,source_label,latency_formally_comparable
G2,68,0.9816,1.9522,1.0,0.9853,0.9289,0.0037,0.9655,5745.495,63b4315941716707,ggen_9fe5ef46cda09dd4_20260406T155208+0000,d:\VSCodeWorkspace\GraduationDesign\DatafinitiHotelReviews\experiments\runs\ggen_9fe5ef46cda09dd4_20260406T155208+0000,G2,True
G4,68,0.989,1.9449,0.9706,1.0,0.9657,0.0221,1.0,5492.044,122d8410e5bd1e5b,ggen_49001bbb5794fd52_20260406T160643+0000,d:\VSCodeWorkspace\GraduationDesign\DatafinitiHotelReviews\experiments\runs\ggen_49001bbb5794fd52_20260406T160643+0000,G4,True
