group_id,query_count,citation_precision,evidence_verifiability_mean,unsupported_honesty_rate,schema_valid_rate,reasoning_leak_rate,auditable_query_rate,avg_latency_ms,config_hash,source_run_id,source_run_dir,latency_formally_comparable
A_base_4b_grounded,40,0.9688,1.9704,,1.0,0.0,1.0,5776.447,921e5b6974b091b7,e10_0dc5c2e6f867c66f_20260402T015230+0000,/root/autodl-tmp/workspace/DatafinitiHotelReviews/experiments/runs/e10_0dc5c2e6f867c66f_20260402T015230+0000,True
B_peft_4b_grounded,40,0.9,1.9754,,1.0,0.0,1.0,5709.342,1ca7c033734fac9a,e10_d749ec0796f7b365_20260404T024800+0000,/root/autodl-tmp/workspace/DatafinitiHotelReviews/experiments/runs/e10_d749ec0796f7b365_20260404T024800+0000,True
