group_id,query_count,citation_precision,evidence_verifiability_mean,unsupported_honesty_rate,schema_valid_rate,reasoning_leak_rate,auditable_query_rate,avg_latency_ms,config_hash,source_run_id,source_run_dir,latency_formally_comparable
A_base_4b_grounded,40,0.9688,1.9704,,1.0,0.0,1.0,5776.447,921e5b6974b091b7,e10_0dc5c2e6f867c66f_20260402T015230+0000,experiments/runs/e10_0dc5c2e6f867c66f_20260402T015230+0000,True
B_peft_4b_grounded,40,0.925,1.9758,,0.9,0.0,1.0,5596.613,8d76bc9f77945640,e10_927c1d0a2fbc5870_20260403T083734+0000,experiments/runs/e10_927c1d0a2fbc5870_20260403T083734+0000,True
