group_id,query_count,citation_precision,evidence_verifiability_mean,schema_valid_rate,recommendation_coverage,aspect_alignment_rate,hallucination_rate,unsupported_honesty_rate,unsupported_honesty_applicable,avg_latency_ms,config_hash,reasoning_leak_rate,auditable_query_rate,source_run_id,source_run_dir,latency_formally_comparable
A_base_4b_grounded,40,0.9688,1.9187,1.0,0.975,0.8792,0.0063,,False,5899.415,921e5b6974b091b7,0.0,1.0,e10_0dc5c2e6f867c66f_20260406T135631+0000,experiments\runs\e10_0dc5c2e6f867c66f_20260406T135631+0000,True
B_peft_4b_grounded,40,0.9688,1.8813,0.95,0.975,0.9167,0.025,,False,5998.375,5a168e8076093d91,0.0,1.0,e10_a2dd1a0bd73c57b5_20260406T140751+0000,experiments\runs\e10_a2dd1a0bd73c57b5_20260406T140751+0000,True
